family_AsListedInPublication	scientificName_AsListedInPublication
Mormoopidae	Pteronotus parnelli
Phyllostomidae	Trachops cirrhosus
Vespertilionidae	Eptesicus fuscus
Vespertilionidae	Myotis lucifugus
